Name,Beam Trawl,Demersal Trawl & Seine,Sandeel Trawl,Pelagic Trawl,Drift and Fixed Nets,Nephrops Trawl,Hooked Gears,Shrimp Trawl,Dredge,Pots,Shellfish Gear,Other Gear
0,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1
February,1,1,1,1,1,1,1,1,1,1,1,1
March,1,1,1,1,1,1,1,1,1,1,1,1
April,1,1,1,1,1,1,1,1,1,1,1,1
May,1,1,1,1,1,1,1,1,1,1,1,1
June,1,1,1,1,1,1,1,1,1,1,1,1
July,1,1,1,1,1,1,1,1,1,1,1,1
August,1,1,1,1,1,1,1,1,1,1,1,1
September,1,1,1,1,1,1,1,1,1,1,1,1
October,1,1,1,1,1,1,1,1,1,1,1,1
November,1,1,1,1,1,1,1,1,1,1,1,1
December,1,1,1,1,1,1,1,1,1,1,1,1
