Name,Hake F,Mackerel F,Norway Pout F,Sprat F,Sole F,Saithe F,Plaice F,Whiting F,Haddock F,Cod F,Sandeel F,Herring F,Turbot F,Turbot B,Hake B,Mackerel B,Norway Pout B,Sprat B,Sole B,Saithe B,Plaice B,Whiting B,Haddock B,Cod B,Sandeel B,Herring B,Hake C,Mackerel C,Norway Pout C,Sprat C,Sole C,Saithe C,Plaice C,Whiting C,Haddock C,Cod C,Sandeel C,Herring C,Auk B,Fulmar B,Gull B,Gannet B,Harbour Porpoise B,Minke Whale B,White-Beaked Dolphin B,Harbour Seal B,Grey Seal B
Pool Code,19,28,22,25,35,17,34,13,15,11,29,23,33,33,19,28,22,25,35,17,34,13,15,11,29,23,19,28,22,25,35,17,34,13,15,11,29,23,6,7,8,9,2,1,3,5,4
Type,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1991,0.941176471,1.115606936,0.938704028,0.376021798,1.035119231,0.954198473,0.991069863,0.831151832,0.984427141,0.979166667,0.710037175,1.0980755,1.070422535,0.831987299,0.955882346,0.986608114,1.333738996,1.137691371,0.839225091,0.938212929,0.909267406,0.998938927,0.612554368,0.986153278,1.327108437,0.883377806,0.969559996,1.079152605,1.368891765,1.704686438,0.954242591,1.052491979,0.989755131,0.830539574,1.120602843,0.847177048,1.084783177,1.019805372,1.03042549,0.95821877,1.022370102,1.03114477,1.045157107,1.282365471,1.003992744,1.005961711,1.085511363
1992,0.980392157,1.23699422,0.883537653,0.440871935,1.089905517,0.923664122,1.003284557,0.769633508,0.983314794,0.979166667,1.034696406,1.217986677,1.112676056,0.777906035,0.941587327,0.880001533,2.139662838,1.608013546,0.836989795,0.988122229,0.788740439,0.978403457,0.656518163,0.949250944,1.147976011,0.688962905,0.944340664,1.214952077,2.174700742,2.199804121,0.835449883,0.928588077,0.805124796,0.711360268,1.555975217,1.012412018,1.824056297,1.110921859,1.13039001,0.933019072,1.067232507,1.076138272,1.153062327,1.628018123,1.011542117,1.117660534,1.216619334
1993,1.029411765,1.349710983,1.112084063,0.926430518,1.153322494,0.967938931,1.007845414,0.827225131,1.04894327,0.979166667,0.457249071,1.380829016,1.154929577,0.705364898,0.834140882,0.82493388,1.222037005,2.386918792,0.770985558,1.049176751,0.697572513,0.93226897,1.392617848,0.982894573,1.049172276,0.499853049,0.869733459,1.316976172,1.303174088,3.104398552,0.896668571,1.065833994,0.679422222,0.766117087,2.076772929,1.139193931,0.431112854,1.040556144,1.320012807,0.922931832,1.140366811,1.136287655,1.33994356,2.048710038,1.018925106,1.412710841,1.395596613
1994,1.039215686,1.401734104,0.867775832,0.506811989,1.223256402,0.865648855,0.987670689,0.859947644,1.0189099,1,0.369268897,1.442264989,1.169014085,0.592154658,0.745480557,0.697925745,0.990499737,0.620019654,0.663527905,1.096897128,0.594298486,0.898719311,1.622428592,1.062638324,0.718925437,0.531643147,0.860913366,1.308222077,1.319853337,4.655076744,0.939692487,1.018815453,0.605415942,0.666111847,1.952734017,1.068629057,0.631011625,0.880670273,1.602928324,0.921608438,1.240588731,1.208887509,1.594335978,2.491975751,1.003734483,1.497300435,1.365056842
1995,1.098039216,1.277456647,0.619964974,0.813079019,1.287483414,0.870229008,0.987576883,0.79973822,0.912124583,1.03125,0.692688971,1.255366395,1.154929577,0.537063785,0.832284938,0.690388471,2.888743665,1.80760624,0.508277059,1.266063764,0.593684877,0.910943864,2.314211829,1.232769455,1.588837513,0.568361399,0.961086836,1.207903761,1.66628563,5.752322465,0.867511388,1.134915083,0.545026687,0.691301554,1.946160389,1.159384808,1.308085164,0.897930812,1.937245264,0.917776268,1.348813983,1.286485401,1.848074947,2.825434226,0.948675224,1.579640189,1.26822178
1996,0.950980392,1.095375723,0.57530648,0.382016349,1.341452504,0.772519084,1.060824092,0.722513089,0.893214683,1.03125,0.646840149,0.716506292,1.056338028,0.467262812,0.766930181,0.628568306,1.682878958,1.434765625,0.374077863,1.366789339,0.567842234,0.820308452,1.464323497,1.227275252,1.452085479,0.632139821,0.787437037,0.899961189,1.122103597,1.255052981,0.644960127,1.03621633,0.595960483,0.498833566,2.361260394,1.082628162,0.868172023,0.426357154,2.313739064,0.910153333,1.457890108,1.36875222,2.084368498,2.989398334,0.866350443,1.751856057,1.338275936
1997,1.039215686,0.997109827,0.573555166,0.369482289,1.379654334,0.67480916,1.176544285,0.581151832,0.691879867,1.020833333,0.635687732,0.650629164,0.957746479,0.50533604,0.660262949,0.632641539,2.815565514,2.430266291,0.385581078,1.694064603,0.68750733,0.744602097,2.971905495,1.109405758,0.934261277,0.715229646,0.708293026,0.915225353,1.128272043,1.55517467,0.42428816,0.965141979,0.802329454,0.402583189,1.959296217,1.266744481,1.391356454,0.409642159,2.685637888,0.894701976,1.556349938,1.445042961,2.301479404,2.999154473,0.768214833,1.985827221,1.739275584
1998,0.960784314,1.005780347,0.507005254,0.767302452,1.393676415,0.685496183,1.196234122,0.519633508,0.810901001,1.041666667,0.781908302,0.750555144,0.915492958,0.540669186,0.626190069,0.626822312,1.21803464,2.542133866,0.480427709,1.662416712,0.698295654,0.64052807,2.155636535,1.076284849,2.089660047,0.834041836,0.584781666,1.064220653,0.539444264,2.55339389,0.594191344,0.942131021,0.762681945,0.311103391,1.867262569,1.32802881,1.231298981,0.6069597,2.978816383,0.8676575,1.632187723,1.503238126,2.492541023,2.860372925,0.664234551,2.358042896,1.808948887
1999,0.950980392,1.078034682,0.605078809,0.416348774,1.388737431,0.729770992,1.073555054,0.582460733,0.907675195,1.083333333,1.152416357,0.722427831,0.873239437,0.521920984,0.687464577,0.685974918,1.204523443,2.033993633,0.494448689,1.748508736,0.647594287,0.648597163,1.679675563,0.915929843,0.902126607,0.856681841,0.66989025,1.022683024,0.663589631,3.19668775,0.668422551,0.961685915,0.667706075,0.398716922,1.422661432,0.765787247,1.380348747,0.56284358,3.155381141,0.829901658,1.682411831,1.540537475,2.655954265,2.597394121,0.559853904,2.453655975,1.748863655
2000,0.892156863,1.12716763,0.571803853,0.590190736,1.358233676,0.639694656,0.961868881,0.643979058,0.985539488,1.083333333,0.930607187,0.727239082,0.901408451,0.576723445,0.764833391,0.677748666,2.625598851,2.410907329,0.421477538,1.670448595,0.60266299,0.818507096,1.089220642,0.715369302,0.571208964,0.888391593,0.702348469,1.179680151,1.329810562,2.896298947,0.644675394,0.798398957,0.5611869,0.41812034,1.462068162,0.633788585,0.976903737,0.601580214,3.193032251,0.782744042,1.706022035,1.555235947,2.786548414,2.236087379,0.459130784,2.60090032,2.058664799
2001,0.735294118,1.291907514,0.447460595,0.833787466,1.300149539,0.595419847,0.944026773,0.489528796,0.667408231,1.020833333,1.499380421,0.629903775,0.985915493,0.550475946,0.765570096,0.634463485,1.195036037,1.141113233,0.366159603,1.730508946,0.627652982,0.905939543,0.737157638,0.681280793,0.646618433,1.13491868,0.611718988,1.177854584,0.462798804,1.952007842,0.567881541,0.853245885,0.802819649,0.296470556,1.998472624,0.397191638,1.734799504,0.579739906,3.087745866,0.727823944,1.703670067,1.54670135,2.877930833,1.807702056,0.363838718,2.796625675,1.992919941
2002,0.794117647,1.442196532,0.667250438,0.95640327,1.245156426,0.615267176,0.98086937,0.363874346,0.416017798,0.958333333,1.026022305,0.586602517,1.070422535,0.527257024,0.807406771,0.65592183,0.810748964,1.538794894,0.354897087,1.922611362,0.685933063,0.918943862,6.3225579,0.617908424,0.623132332,1.342111996,0.668962869,1.232092917,0.554354939,2.333541104,0.482488606,1.154003808,0.55791162,0.304386575,1.7888988,0.458853172,1.980361809,0.611734749,2.860411384,0.667291305,1.678249496,1.51598238,2.925336078,1.36831855,0.27713809,3.150506731,2.209375009
