Name,Hake F,Mackerel F,Norway Pout F,Sprat F,Sole F,Saithe F,Plaice F,Whiting F,Haddock F,Cod F,Sandeel F,Herring F,Turbot F,Turbot B,Hake B,Mackerel B,Norway Pout B,Sprat B,Sole B,Saithe B,Plaice B,Whiting B,Haddock B,Cod B,Sandeel B,Herring B,Hake C,Mackerel C,Norway Pout C,Sprat C,Sole C,Saithe C,Plaice C,Whiting C,Haddock C,Cod C,Sandeel C,Herring C,Auk B,Fulmar B,Gull B,Gannet B,Harbour Porpoise B,Minke Whale B,White-Beaked Dolphin B,Harbour Seal B,Grey Seal B
Pool Code,19,27,22,25,33,17,32,13,15,11,28,23,31,31,19,27,22,25,33,17,32,13,15,11,28,23,19,27,22,25,33,17,32,13,15,11,28,23,6,7,8,9,2,1,3,5,4
Type,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,1.02,0.346,1.142,1.835,0.474794,0.655,0.6055002,0.764,0.899,0.96,0.807,0.2702,0.71,0.012059,0.122755,1.102364,0.405847,1.567877,0.2620745,0.2193649,0.9645917,0.3876304,0.1479478,0.1627426,1.911592,3.619065,0.104267826,1.088881739,0.241904348,0.1804686,0.06541287,0.1071337,0.3411985,0.2002473,0.1044057,0.1173626,1.045911,0.8517913,0.000593,0.000672,0.000792,0.000607,0.003,0.0085,0.009,0.0017,0.033
1991,0.96,0.386,1.072,0.689999999,0.4914684,0.625,0.600093,0.635,0.885,0.94,0.573,0.2967,0.76,0.010032935,0.117339337,1.087601267,0.54129397,1.783760134,0.219939496,0.205810985,0.877071793,0.387219096,0.090626071,0.160489148,2.536889871,3.197001699,0.101093913,1.175069565,0.33114087,0.307642375,0.062419747,0.11275736,0.337702966,0.166313307,0.116997324,0.099426901,1.134586657,0.868661344,0.000611042,0.000643923,0.000809717,0.000625905,0.003135471,0.010900107,0.009035935,0.001710135,0.035821875
1992,1,0.428,1.009,0.809000001,0.5174806,0.605,0.607489,0.588,0.884,0.94,0.835,0.3291,0.79,0.009380769,0.115584552,0.97008201,0.868375744,2.521167454,0.219353682,0.216759334,0.760812481,0.379258923,0.097130418,0.154483567,2.194461759,2.493401536,0.098464348,1.32293913,0.526069565,0.39699557,0.054649175,0.099483076,0.274707373,0.142447973,0.162452682,0.118819307,1.907800546,0.946273574,0.000670321,0.000626989,0.000845248,0.000653216,0.003459187,0.013838154,0.009103879,0.001900023,0.040148438
1993,1.05,0.467,1.27,1.700000001,0.5475906,0.634,0.6102506,0.632,0.943,0.94,0.369,0.3731,0.82,0.008505995,0.102394964,0.909377412,0.495960052,3.742395075,0.202055655,0.230152553,0.672872656,0.361375794,0.206034747,0.159958818,2.005589329,1.809000675,0.090685217,1.434031304,0.315243478,0.560246461,0.058653665,0.114186739,0.231817843,0.153412878,0.216826931,0.133698762,0.450905676,0.886336671,0.000782768,0.00062021,0.000903171,0.000689727,0.004019831,0.017414035,0.009170326,0.002401608,0.046054688
1994,1.06,0.485,0.991,0.93,0.5807948,0.567,0.5980348,0.657,0.916,0.96,0.298,0.3897,0.83,0.007140793,0.091511466,0.769368216,0.401991347,0.972114555,0.173893744,0.240620729,0.573255387,0.348370926,0.240034741,0.172936524,1.374292114,1.924051106,0.089765565,1.42449913,0.319278261,0.840095183,0.061467982,0.109149469,0.206567011,0.133387099,0.203876562,0.125417085,0.659982,0.750147277,0.000950536,0.000619321,0.000982546,0.000733795,0.004783008,0.021181794,0.00903361,0.002545411,0.045046876
1995,1.12,0.442,0.708,1.492,0.6112894,0.57,0.597978,0.611,0.82,0.99,0.559,0.3392,0.82,0.006476452,0.102167138,0.761059396,1.17238795,2.834104249,0.133206456,0.277729951,0.572663505,0.353109534,0.342382549,0.200624106,3.037209079,2.056936846,0.100210435,1.315264348,0.403081739,1.038113582,0.05674641,0.121587652,0.185962288,0.13843127,0.203190238,0.136068415,1.368140662,0.764849654,0.001148786,0.000616746,0.001068261,0.000780897,0.005544225,0.024016191,0.008538077,0.002685388,0.041851319
1996,0.97,0.379,0.657,0.701,0.6369136,0.506,0.6423292,0.552,0.803,0.99,0.522,0.1936,0.75,0.005634722,0.094144514,0.692911072,0.682991376,2.249536024,0.098036269,0.299825607,0.547735906,0.317976493,0.21664344,0.199729965,2.775794985,2.287755101,0.082104348,0.979951305,0.271441739,0.226497654,0.042188693,0.111013689,0.203340823,0.099890075,0.246529044,0.127060056,0.908030669,0.363167314,0.001372047,0.000611623,0.001154649,0.000830833,0.006253105,0.025409886,0.007797154,0.002978155,0.044163106
1997,1.06,0.345,0.655,0.678,0.6550516,0.442,0.7123978,0.444,0.622,0.98,0.513,0.1758,0.68,0.006093847,0.081050578,0.697401257,1.142688817,3.810358622,0.101050968,0.371618312,0.663163864,0.288630409,0.43968688,0.180547578,1.785926383,2.588462579,0.073852174,0.996572174,0.272933913,0.280660195,0.027753906,0.103399231,0.273753606,0.080616197,0.204561693,0.148668426,1.45523502,0.348929627,0.001592583,0.00060124,0.001232629,0.000877141,0.006904438,0.025492813,0.006913933,0.003375906,0.057396094
